baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00005	978.904658503203	-0.221902389912223	0.11202828208655	-1.98077115688328	0.0476169427788199	0.374623744747207
EQU24_RS00010	1006.3774424165	-0.0971025232980033	0.112973800194038	-0.85951364945877	0.390057192734944	0.854136336470609
EQU24_RS00015	522.894898028895	-0.230711991155401	0.112168382926945	-2.05683620584656	0.0397019841034007	0.338767881271301
EQU24_RS00020	2573.60505698075	0.098109867950338	0.110766222748951	0.885738138536161	0.375758651671498	0.849141677168207
EQU24_RS00035	574.805889356414	0.143529851410667	0.107425287637807	1.33608998930112	0.181519861640787	0.675220425421397
EQU24_RS00040	596.371348678483	-0.152758687688007	0.112978855432524	-1.35209979870297	0.176343391720919	0.669921747866683
EQU24_RS00045	483.069659493141	-0.125376622068548	0.109179373568574	-1.14835447365706	0.250822259752154	0.760229747144877
EQU24_RS00050	1132.41999126863	-0.00805471158316474	0.108936215217103	-0.0739397046896865	0.941058362524936	0.993610709430216
EQU24_RS00055	89.0817533472208	-0.00958536388386224	0.112880020289556	-0.0849163905115729	0.932327861109106	0.993610709430216
EQU24_RS00060	1158.79521669459	-0.0865417638419527	0.110645107520832	-0.782156263218947	0.434122744656778	0.876497947691224
EQU24_RS00070	23.802678946628	-0.0226992395556936	0.108680582724971	-0.208861960311131	0.834556000478963	0.983371047892126
EQU24_RS00075	34.0012136444096	-0.165789694523481	0.106042150476645	-1.56343202941734	0.117951011417366	0.580955428751659
EQU24_RS00080	178.504218009743	-0.0623791060484148	0.112936051452885	-0.552340065425769	0.580715385341524	0.928306302580903
EQU24_RS00085	750.423026560782	-0.11369671998545	0.110918030143303	-1.02505174171014	0.305338774224809	0.800460215576439
EQU24_RS00090	1254.12411221433	-0.185822630504853	0.112678747807381	-1.64913645315361	0.0991196830408073	0.539211763000118
EQU24_RS00095	1315.28942805354	-0.193465981828893	0.109453313494295	-1.76756624036766	0.0771334460162381	0.474558823356002
EQU24_RS00100	648.422349885771	-0.16591404891167	0.112687198354969	-1.47234159100339	0.140928657361371	0.620037986067735
EQU24_RS00105	1478.55705744804	-0.42007154167304	0.107576527739135	-3.90486243143748	9.42790008288643e-05	0.0054989744287153
EQU24_RS00110	1558.96568675671	-0.197703282063041	0.104213739642962	-1.8970942098458	0.0578155052762039	0.410093812468821
EQU24_RS00115	3648.01008712466	-0.02640226801848	0.110551560386681	-0.238823114989347	0.811242745623514	0.980544963034389
EQU24_RS00125	2452.87059246289	0.33209894622959	0.112654722592404	2.94793630118069	0.00319902974507488	0.0665196175108544
EQU24_RS00130	106.431091806776	0.0358266471803281	0.112996881365551	0.317058725403465	0.751199042670758	0.966904170239204
EQU24_RS00135	266.382925083917	0.0896756084616382	0.112766664305927	0.795231543059175	0.426478826412245	0.873346565301681
EQU24_RS00140	126.670751876352	0.147457439715449	0.106807431507365	1.38059157152638	0.167404576322311	0.659528365924677
EQU24_RS00145	32.2060530452534	-0.102302420585941	0.106775224512779	-0.958110095790034	0.338007245143392	0.829234927826153
